;Visual Properties;;;;;;Labels;;;;Layout;;;;;;Graph Metrics;;;;;;;;;Do Not Edit;;Other Columns;;;;;;;;;;;;;;;;;;
Vertex;Color;Shape;Size;Opacity;Image File;Visibility;Label;Label Fill Color;Label Position;Tooltip;Layout Order;X;Y;Locked?;Polar R;Polar Angle;Degree;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;Eigenvector Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;ID;Dynamic Filter;Add Your Own Columns Here;Followed;Followers;Tweets;Favorites;Time Zone UTC Offset (Seconds);Description;Location;Web;Time Zone;Joined Twitter Date (UTC);Custom Menu Item Text;Custom Menu Item Action;Tweeted Search Term?;;;;;
respect_4life;;;;;http://pbs.twimg.com/profile_images/1178977407157637120/vxi7I1a8_normal.jpg;;;;;"respect_4life

Ik denk erover om #wappie te worden.
Dat geklaag weer van iedereen over
het feit dat mensen vandaag BUITEN
een feestje vierden.";;8.273,4;4.208,8;;;;;;;;;;;;;406;;;2160;1556;11523;1922;;Duurzaam Energieloket 🏢🏚 Stray-AFP 🐈🐕 Respect 4 life 🦉🦅🐝 🐺🦋🕷🐘🦒🐞🐓🐖🦚🐉🐁🌲🌳🍄🌵🌾 Antropoloog | Zin van het leven: hardlopen met de hond;ÜT: 52.342012,4.897327;https://t.co/Lhja844c7T;;27-6-2009 22:26;Open Twitter Page for This Person;https://twitter.com/respect_4life;Yes;;;;;
staatsgeheim;;;;;http://pbs.twimg.com/profile_images/1335989091666681856/ViBnMNfr_normal.jpg;;;;;"staatsgeheim

jA mAaR oP FaCEboOk StoNd dAt hET
z'N lEuK lAnD wAs!!1!!2!!2! #moederhart
#wappies #wappie https://t.co/tFnQgrLARi";;1.790,2;3.317,8;;;;;;;;;;;;;407;;;3700;3809;64170;60570;;Product Owner @zerocopter / Hacker / Dyslectic / Ex Fox-IT / Cyber Weapon / Bypasses all the Endpoint Protection Systems / Tweets are UTF8 as well as my own;Rotterdam, The Netherlands;https://t.co/1FDWYX0w4v;;20-12-2010 14:34;Open Twitter Page for This Person;https://twitter.com/staatsgeheim;Yes;;;;;
johan_jg_petra;;;;;http://pbs.twimg.com/profile_images/1379002229680640000/KrnNEGcN_normal.jpg;;;;;"johan_jg_petra

@Upsideonder Ha, weer een anoniem
#wappie. Twitter zit er vol mee🤣";;7.251,4;6.454,3;;;;;;;;;;;;;408;;;49;49;549;353;;"Tikje eigenwijs. 
Getrouwd met de liefste vrouw van de wereld. 
Ondernemer.
Tweets op persoonlijke titel.
Volgt en ontvolgt terug. 
Schelden is een block!";;;;5-4-2021 09:18;Open Twitter Page for This Person;https://twitter.com/johan_jg_petra;Yes;;;;;
jucindadevries;;;;;http://pbs.twimg.com/profile_images/1380898572032434179/ugK5NKrt_normal.jpg;;;;;"jucindadevries

";;8.583,2;5.198,4;;;;;;;;;;;;;409;;;1;4;1170;0;;"Voormalige hoofd vaccinatie afdeling ziekenhuis Leiden.
Eigen kind slachtoffer van vaccinatie schade.
https://t.co/ojAcV3KlHV";Leiden;;;27-3-2020 00:04;Open Twitter Page for This Person;https://twitter.com/jucindadevries;No;;;;;
upsideonder;;;;;http://pbs.twimg.com/profile_images/1376270443691315205/u4ZqkXhx_normal.jpg;;;;;"upsideonder

@Johan_JG_Petra Hahaha yup, een
#Wappie! En voor de rest kan ik
u melden, 🖕";;7.598,8;8.618,1;;;;;;;;;;;;;410;;;211;215;5655;6271;;"Żegnaj Holland, witaj Polsko

#outkast";;;;5-2-2011 02:02;Open Twitter Page for This Person;https://twitter.com/upsideonder;Yes;;;;;
dusjajoh;;;;;http://pbs.twimg.com/profile_images/1372132432372174848/PZraXcZv_normal.jpg;;;;;"dusjajoh

@drsmichakat Het Sektejournaal
met Micha Kat, Wouter Raatgever,
en Joost Knevel. waar men het over
een schone mind… https://t.co/mRFZ1AsMsS";;4.560,1;5.249,0;;;;;;;;;;;;;411;;;297;68;657;1423;;"Kritisch op De John Birch Society, Robert Welch, Alex Jones en ander Complot Theorie en Geloof Overtuigers.
Hoe oneens we het ook kunnen zijn, Schelden = Block.";Alert;https://t.co/evVqxJHYLr;;18-7-2014 20:41;Open Twitter Page for This Person;https://twitter.com/dusjajoh;Yes;;;;;
drsmichakat;;;;;http://pbs.twimg.com/profile_images/1364588385776631814/9fpSIFn8_normal.jpg;;;;;"drsmichakat

";;4.997,0;8.773,7;;;;;;;;;;;;;412;;;18;4922;5486;4;;MICHA KAT IS DE UITVINDER VAN DE GUERILLA-JOURNALISTIEK. Alles wat niet in strijd is met de wet is geoorloofd in de infowar.;Noord-Ierland;;;30-12-2017 08:32;Open Twitter Page for This Person;https://twitter.com/drsmichakat;No;;;;;
uncle_sjohie;;;;;http://pbs.twimg.com/profile_images/1084496289/bruce3_normal.jpg;;;;;"uncle_sjohie

@PLoo69989276 Je bent wel of niet
gevaccineerd, meer dan dat houden
ze niet bij. En bij prik waarmee
+ datum en bat… https://t.co/FxnSGe7GST";;5.591,2;8.829,4;;;;;;;;;;;;;413;;;165;52;3337;9437;;;;http://t.co/2L8kLDdE0g;;9-9-2009 11:13;Open Twitter Page for This Person;https://twitter.com/uncle_sjohie;Yes;;;;;
ploo69989276;;;;;http://pbs.twimg.com/profile_images/1373522428693975040/b_q6bsna_normal.jpg;;;;;"ploo69989276

";;5.104,1;5.100,1;;;;;;;;;;;;;414;;;0;12;862;1337;;;;;;21-3-2021 06:29;Open Twitter Page for This Person;https://twitter.com/ploo69989276;No;;;;;
moerbeekpeter;;;;;http://pbs.twimg.com/profile_images/790312712555393024/xuAbCONo_normal.jpg;;;;;"moerbeekpeter

RT @kleintjekup: Wappie rammen
is zoooow maart&amp;april... #koningsdag2021
#nieuwenormaal #nietmijnregering
#nieuwleiderschap #wappie #coronam…";;1.415,8;3.195,3;;;;;;;;;;;;;415;;;695;310;2737;349;;Faillissementscarousel 🔔 Debet voor Credit. Waar de betaalautomaten op uitbetalen staan en de opbrengsten uitgaven worden .... Financieren zonder onderpand ...;Texel - NL - Sicilië;https://t.co/yCgqNicpM1;;15-6-2011 20:43;Open Twitter Page for This Person;https://twitter.com/moerbeekpeter;Yes;;;;;
kleintjekup;;;;;http://pbs.twimg.com/profile_images/1130964044075229184/w6sqiCMK_normal.jpg;;;;;"kleintjekup

4) wappie rammen is zoooow maart&amp;april
joh... even wat nieuws verzinnen...
#coronamaatregelen #koningsdag2021…
https://t.co/fArAJxhSy2";;2.614,5;4.533,2;;;;;;;;;;;;;416;;;316;242;9972;9336;;vrije geest, geen religie! religie kleineert! Nederlander! #nexit #FvD;den helder;;;25-2-2010 14:42;Open Twitter Page for This Person;https://twitter.com/kleintjekup;Yes;;;;;
eenpinguin;;;;;http://pbs.twimg.com/profile_images/1107669481529049088/8IHL1B0-_normal.png;;;;;"eenpinguin

RT @kleintjekup: Tja.. wappie rammen
is zo maart&amp;april... tijd voor
wat nieuws... #wappie #wappierammen
#me #politiegeweld #koningsdag2021…";;2.121,9;4.058,7;;;;;;;;;;;;;417;;;177;42;1505;518;;;Inac Oldworld;;;28-7-2012 07:22;Open Twitter Page for This Person;https://twitter.com/eenpinguin;Yes;;;;;
beneluxminer;;;;;http://pbs.twimg.com/profile_images/1387114895339032577/ZiX1GAvG_normal.jpg;;;;;"beneluxminer

RT @kleintjekup: Wappie rammen
is zoooow maart&amp;april... #koningsdag2021
#nieuwenormaal #nietmijnregering
#nieuwleiderschap #wappie #coronam…";;1.487,2;2.453,0;;;;;;;;;;;;;418;;;343;69;2361;3281;;;;;;8-4-2014 19:53;Open Twitter Page for This Person;https://twitter.com/beneluxminer;Yes;;;;;
original_uppie;;;;;http://pbs.twimg.com/profile_images/718002043546443776/-eb1fsPa_normal.jpg;;;;;"original_uppie

RT @kleintjekup: Tja.. wappie rammen
is zo maart&amp;april... tijd voor
wat nieuws... #wappie #wappierammen
#me #politiegeweld #koningsdag2021…";;8.463,5;3.319,4;;;;;;;;;;;;;419;;;568;655;23418;17069;;Ik volg/ONT-volg, roker, alles wat ik dump hier is mijn mening, anti EU, open mind. beetje autistisch. Ajax. Enschede. Anti 1,5e meter onzin ! #Sukkel;NL;;;7-4-2016 09:03;Open Twitter Page for This Person;https://twitter.com/original_uppie;Yes;;;;;
susket46627052;;;;;http://pbs.twimg.com/profile_images/1372859581945249795/3BenmVHm_normal.jpg;;;;;"susket46627052

RT @kleintjekup: Tja.. wappie rammen
is zo maart&amp;april... tijd voor
wat nieuws... #wappie #wappierammen
#me #politiegeweld #koningsdag2021…";;3.042,1;4.009,7;;;;;;;;;;;;;420;;;949;746;10269;5399;;In a world that demands you to obey the wrong rules. Being rebellious is right.;;;;17-2-2015 21:42;Open Twitter Page for This Person;https://twitter.com/susket46627052;Yes;;;;;
55spotgaai;;;;;http://pbs.twimg.com/profile_images/1092080846398504960/B7A75TAz_normal.jpg;;;;;"55spotgaai

RT @kleintjekup: Tja.. wappie rammen
is zo maart&amp;april... tijd voor
wat nieuws... #wappie #wappierammen
#me #politiegeweld #koningsdag2021…";;7.171,8;7.046,2;;;;;;;;;;;;;421;;;569;926;63488;53063;;Zeeuws Mokkel met een grote waffel, haat onrechtvaardigheid, leugenaars, en geldwolven.;;;;3-2-2019 15:20;Open Twitter Page for This Person;https://twitter.com/55spotgaai;Yes;;;;;
2tijro;;;;;http://pbs.twimg.com/profile_images/1220690418138013701/BzR8LckC_normal.jpg;;;;;"2tijro

RT @kleintjekup: Tja.. wappie rammen
is zo maart&amp;april... tijd voor
wat nieuws... #wappie #wappierammen
#me #politiegeweld #koningsdag2021…";;2.608,8;6.874,9;;;;;;;;;;;;;422;;;1480;1612;118693;51858;;nieuw account ipv 1tijro 🚜 PVV #GASKLEVER  GAB TIJRO;;;;24-1-2020 12:47;Open Twitter Page for This Person;https://twitter.com/2tijro;Yes;;;;;
rpadvinder;;;;;http://pbs.twimg.com/profile_images/1379932243716669441/1ic0GP-G_normal.jpg;;;;;"rpadvinder

Nou @willem_engel het kan de beste
overkomen. Pas maar op dat je niet
ook ziek wordt zoals je #wappie
vriend… https://t.co/UayJ9fyGKq";;4.777,7;4.785,4;;;;;;;;;;;;;423;;;103;60;1971;4869;;Here to follow dumb and dumber. Oeps Trump is a I work alone stand up comedian proud to be dutch.;Hoogkerk-Dorp, Groningen;;;23-9-2018 21:20;Open Twitter Page for This Person;https://twitter.com/rpadvinder;Yes;;;;;
critica55049142;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;;;;"critica55049142

@SlapendNL @RaafMeneer @Pipistrellos
@NOS @Rijksoverheid @markrutte
@hugodejonge Waarom zit je als
#wappie te reage… https://t.co/puxk6H2k8a";;4.666,5;4.153,2;;;;;;;;;;;;;424;;;20;2;1983;420;;;;;;6-11-2019 12:32;Open Twitter Page for This Person;https://twitter.com/critica55049142;Yes;;;;;
rijksoverheid;;;;;http://pbs.twimg.com/profile_images/1284068816016814081/3tKJlqFN_normal.jpg;;;;;"rijksoverheid

";;7.670,9;4.797,0;;;;;;;;;;;;;425;;;137;46903;22472;415;;Vragen over #coronavirus: 0800-1351 of https://t.co/gVCBlgtNmp. English: https://t.co/Fdj5OE6Kda. Vragen over beleid, wet- en regelgeving? Bel 1400;Den Haag;https://t.co/RJnGuLB0Sj;;25-7-2008 07:08;Open Twitter Page for This Person;https://twitter.com/rijksoverheid;No;;;;;
pipistrellos;;;;;http://pbs.twimg.com/profile_images/1105230189011918851/iHcmZexX_normal.jpg;;;;;"pipistrellos

";;1.441,0;2.274,4;;;;;;;;;;;;;426;;;732;196;14280;14044;;Pensionado psycholoog, lucht-, natuur-, dier-, klimaatbescherming, politiek. Psychologist, clean air, nature-, animal welfare, climatprotection, politics.;t Gooi, The Netherlands;;;13-2-2014 00:53;Open Twitter Page for This Person;https://twitter.com/pipistrellos;No;;;;;
raafmeneer;;;;;http://pbs.twimg.com/profile_images/1382985498134740994/Di08jIGp_normal.jpg;;;;;"raafmeneer

";;3.211,0;5.645,9;;;;;;;;;;;;;427;;;675;448;6835;6534;;"We beginnen gewoon opnieuw
MSM= #gaslighting + #DeGroteLeugen
#OMT=maffia
Handelt in dode mussen

Braziliaanse mutant: https://t.co/anmApFhYHP…";;https://t.co/ILNE4at5lm;;16-4-2021 09:12;Open Twitter Page for This Person;https://twitter.com/raafmeneer;No;;;;;
slapendnl;;;;;http://pbs.twimg.com/profile_images/1354551687055290369/wIO5IHZv_normal.jpg;;;;;"slapendnl

";;6.491,1;1.017,8;;;;;;;;;;;;;428;;;88;15;1773;605;;"De regering staat TEN DIENSTE van de bevolking. Het volk besluit, de regering volgt en NIET ANDERSOM..

Plakkaat van Verlatinghe ondertekend op 26 juli 1581";The Netherlands;;;30-3-2011 22:43;Open Twitter Page for This Person;https://twitter.com/slapendnl;No;;;;;
wappiewereld;;;;;http://pbs.twimg.com/profile_images/1370811558595530763/AUK8FM7d_normal.jpg;;;;;"wappiewereld

Gefeliciteerd aan de nieuwe eigenaar
van onderstaand #ProudToBeWappie
t-shirt! Deze zal snel geleverd
worden! Blijf… https://t.co/dhMEg1zhxy";;6.483,9;1.261,1;;;;;;;;;;;;;429;;;9;4;96;42;;👇 Alles wat een Wappie wil! 😎👇;;https://t.co/6FSWUOecNM;;13-3-2021 18:55;Open Twitter Page for This Person;https://twitter.com/wappiewereld;Yes;;;;;
jeltjeb;;;;;http://pbs.twimg.com/profile_images/1387430696797581312/XeJl2ctH_normal.jpg;;;;;"jeltjeb

";;4.530,6;8.247,9;;;;;;;;;;;;;430;;;4929;7615;71454;116687;;ik ben niet gelovig maar wel spiritueel , weet dat wij een onderdeel van de natuur en het Universum zijn, maak mij zorgen over onze vrijheid.;Almere;;;18-11-2009 14:28;Open Twitter Page for This Person;https://twitter.com/jeltjeb;No;;;;;
ch1pmaster;;;;;http://pbs.twimg.com/profile_images/472505697452560384/5ytk0Ppx_normal.jpeg;;;;;"ch1pmaster

RT @CarolineVonhoff: @emiel_vdvegt
@Jeltjeb Tja kinders, iedereen
die de zogenaamde EU grondwet wél
las, wist dat en waarschuwde er
voor. E…";;7.929,4;8.729,2;;;;;;;;;;;;;431;;;613;276;11665;4561;;still looking for intelligence;;;;27-4-2011 22:28;Open Twitter Page for This Person;https://twitter.com/ch1pmaster;Yes;;;;;
emiel_vdvegt;;;;;http://pbs.twimg.com/profile_images/1368240879203475458/2qQetHsx_normal.jpg;;;;;"emiel_vdvegt

Out in the open... #wappie #avondklok
#TheGreatReset https://t.co/rAeklRVVod";;6.775,7;7.070,8;;;;;;;;;;;;;432;;;2853;2847;44281;100474;;"Master of Arts, Eigentijds Historicus. 'Een volk dat voor tirannen zwicht, zal meer dan lijf en goed verliezen; dan dooft het licht'. #StopTheGreatReset";Nederland Enschede;;;29-9-2015 23:31;Open Twitter Page for This Person;https://twitter.com/emiel_vdvegt;Yes;;;;;
buketjebuketje;;;;;http://pbs.twimg.com/profile_images/1381495054792073217/b5wCktOo_normal.jpg;;;;;"buketjebuketje

#demonstratie #wappies #wappie
#blijdorp #Rotterdam #Rutte https://t.co/gPUSszqQwJ";;3.689,1;8.237,4;;;;;;;;;;;;;433;;;47;17;601;557;;;World;;;26-11-2014 18:15;Open Twitter Page for This Person;https://twitter.com/buketjebuketje;Yes;;;;;
onderob;;;;;http://pbs.twimg.com/profile_images/1239999898008858634/qqtvG1RU_normal.jpg;;;;;"onderob

@Son60920537 @DrDeuce6 Klopt, over
je harteloos zijn kan je moeilijk
iets zeggen. Over je immense onvermogen
om waa… https://t.co/QzTHnp4qaV";;3.346,7;3.740,6;;;;;;;;;;;;;434;;;611;651;21553;6485;;The only atheist in the village * Wappie-free zone *toekomstig vaccionado;;;;9-4-2012 17:38;Open Twitter Page for This Person;https://twitter.com/onderob;Yes;;;;;
son60920537;;;;;http://pbs.twimg.com/profile_images/1375949214115631110/85nQZ9R4_normal.jpg;;;;;"son60920537

";;5.108,3;1.725,3;;;;;;;;;;;;;435;;;524;495;2526;3585;;"Ik hoef niet mijn kennis of interesses te beschrijven, ik wil alleen mijn Liefde tonen. Wees onbevangen en heb de ander lief, zoals jij jezelf liefhebt❤
🙏✝️☀️";❤WeAre🌍ne🕊✝️🔥🗡⚖☯️🏛 ;;;14-2-2021 13:47;Open Twitter Page for This Person;https://twitter.com/son60920537;No;;;;;
theojansn;;;;;http://pbs.twimg.com/profile_images/948676726648918017/z9g5lPHx_normal.jpg;;;;;"theojansn

@cazzick #wappie";;6.592,3;7.286,8;;;;;;;;;;;;;436;;;914;51;1;10918;;;The Netherlands;;;7-4-2011 12:14;Open Twitter Page for This Person;https://twitter.com/theojansn;Yes;;;;;
cazzick;;;;;http://pbs.twimg.com/profile_images/1275898168702578690/kZyAh1B0_normal.jpg;;;;;"cazzick

RT @DivaDivawendy: #wappie https://t.co/0mXmnI2F18";;7.116,3;7.160,5;;;;;;;;;;;;;437;;;1300;1420;4484;5412;;🇳🇱Ondernemer | Gelooft niet alles | Niet links of rechts maar twee chocoladebenen | DJT46;Breda Area;;;17-6-2009 08:03;Open Twitter Page for This Person;https://twitter.com/cazzick;Yes;;;;;
zondestraal;;;;;http://pbs.twimg.com/profile_images/624203353149571072/SrjF_dtf_normal.jpg;;;;;"zondestraal

@LadyAliceWhite @MrPronk @Kapitein_F
Ik heb al een aantal tweets van
je voorbij zien komen. Daaruit
kan ik conclude… https://t.co/qmVx3oHWhY";;3.758,2;7.381,9;;;;;;;;;;;;;438;;;32;3;29;0;;"Dhr de Zonde 
Altijd een mening";;;;12-5-2015 10:12;Open Twitter Page for This Person;https://twitter.com/zondestraal;Yes;;;;;
kapitein_f;;;;;http://pbs.twimg.com/profile_images/1292831812117565442/w_OhkiAL_normal.png;;;;;"kapitein_f

";;4.529,2;7.489,2;;;;;;;;;;;;;439;;;63;41;6140;3074;;Zoals Biceps: ik weet dat ik machtig ben, en sterk, en eigenlijk goed in alles. Tweet op onpersoonlijke titel.;;;;23-3-2019 15:08;Open Twitter Page for This Person;https://twitter.com/kapitein_f;No;;;;;
ladyalicewhite;;;;;http://pbs.twimg.com/profile_images/1292836665740984320/C4Mv33h0_normal.jpg;;;;;"ladyalicewhite

@Zondestraal @MrPronk @Kapitein_F
Te moeilijk. Juist. Of gewoon geen
zin om er energie in te steken.
Nuance bestaat… https://t.co/jt9U4nLJo5";;5.259,4;8.327,8;;;;;;;;;;;;;440;;;405;296;15436;21337;;(On)aardig, (nep)nerd, (wannabe)gamer | Panther | Normality has no cure. | We seem to be the same, but I pretend. | I said no.;;;;14-11-2016 13:56;Open Twitter Page for This Person;https://twitter.com/ladyalicewhite;Yes;;;;;
mrpronk;;;;;http://pbs.twimg.com/profile_images/473522599058628609/sTnlvuR5_normal.jpeg;;;;;"mrpronk

";;5.538,9;2.613,0;;;;;;;;;;;;;441;;;416;135;3823;148;;;hier;https://t.co/dggNSPGdzl;;24-3-2009 09:00;Open Twitter Page for This Person;https://twitter.com/mrpronk;No;;;;;
axelschoenmaker;;;;;http://pbs.twimg.com/profile_images/1267679140221779968/pjWV53Vf_normal.jpg;;;;;"axelschoenmaker

Een #wappie heeft zijn tweetjes
verwijderd.";;8.583,2;4.714,7;;;;;;;;;;;;;442;;;320;32;3294;2503;;;Den Haag e.o.;https://t.co/MfIzRVOnWq;;5-5-2020 17:53;Open Twitter Page for This Person;https://twitter.com/axelschoenmaker;Yes;;;;;
sasukeboy888;;;;;http://pbs.twimg.com/profile_images/1236073556603174916/vomcEc-L_normal.jpg;;;;;"sasukeboy888

@zijlo1 @Politie Goed gedaan meneer
de agent! @POL_Gelderland @Politie
Die #wappie was de heletijd al
aan het prov… https://t.co/wzwdkjNkIn";;5.320,3;6.657,3;;;;;;;;;;;;;443;;;20;6;189;1531;;;Nederland;;;28-3-2018 09:29;Open Twitter Page for This Person;https://twitter.com/sasukeboy888;Yes;;;;;
pol_gelderland;;;;;http://pbs.twimg.com/profile_images/741218532302675968/HMqVVli__normal.jpg;;;;;"pol_gelderland

";;4.107,3;2.129,0;;;;;;;;;;;;;444;;;314;108382;8978;445;;Politie Eenheid Oost-Nederland | Provincie Gelderland | Omgeving Tiel, Arnhem, Apeldoorn, Doetinchem | Voor het melden van incidenten belt u 0900-8844 of 112;Gelderland;https://t.co/oPmtvoJZPc;;26-5-2010 08:46;Open Twitter Page for This Person;https://twitter.com/pol_gelderland;No;;;;;
zijlo1;;;;;http://pbs.twimg.com/profile_images/1372474226653986816/OZ-A4cQH_normal.jpg;;;;;"zijlo1

";;8.583,2;8.481,5;;;;;;;;;;;;;445;;;297;295;8659;12148;;"Liever sterven in vrijheid, dan leven in gevangenschap! 
l'histoire se répète,
Wie slaapt in een democratie, wordt wakker in een dictatuur.";;https://t.co/63S0Wabgib;;5-10-2017 07:32;Open Twitter Page for This Person;https://twitter.com/zijlo1;No;;;;;
politie;;;;;http://pbs.twimg.com/profile_images/689770179069345792/zWJdDPEj_normal.png;;;;;"politie

";;3.253,7;1.480,7;;;;;;;;;;;;;446;;;1296;295358;32753;2255;;Dit is het hoofdaccount van de Nederlandse politie. Melden of aangifte doen kan hier niet. Bel bij spoed 112. Geen spoed? Kijk op https://t.co/aXp4S9rOIM of bel 0900-8844.;Nederland;http://t.co/oPmtvoKxEK;;12-10-2011 08:23;Open Twitter Page for This Person;https://twitter.com/politie;No;;;;;
paulgjk;;;;;http://pbs.twimg.com/profile_images/1215387472298856450/YUt7StPa_normal.jpg;;;;;"paulgjk

@Barbes_NL @inkel9 @SvensTweet
Had ik al gezegd dat je niet spoort?
#wappie";;4.170,3;6.104,0;;;;;;;;;;;;;447;;;4998;1109;78097;39717;;Semper paratus pro justitia. Per undas adversas.  #FBPE  🇪🇺;;;;4-3-2014 14:42;Open Twitter Page for This Person;https://twitter.com/paulgjk;Yes;;;;;
svenstweet;;;;;http://pbs.twimg.com/profile_images/1190961817578856448/xxwfdowV_normal.jpg;;;;;"svenstweet

";;7.210,8;3.310,2;;;;;;;;;;;;;448;;;1943;18218;216233;57331;;Vergeet niets. Vergeeft alles.;The Netherlands;https://t.co/GK4bxaK6BR;;8-7-2010 01:07;Open Twitter Page for This Person;https://twitter.com/svenstweet;No;;;;;
inkel9;;;;;http://pbs.twimg.com/profile_images/1018188089473236992/nLASFJiU_normal.jpg;;;;;"inkel9

";;5.496,4;3.188,3;;;;;;;;;;;;;449;;;164;47;1453;926;;;Someren, Noord-Brabant;;;1-4-2018 06:31;Open Twitter Page for This Person;https://twitter.com/inkel9;No;;;;;
barbes_nl;;;;;http://pbs.twimg.com/profile_images/1211563469188870144/wzy9cGs__normal.jpg;;;;;"barbes_nl

";;8.429,2;7.303,7;;;;;;;;;;;;;450;;;610;1727;62288;130330;;"𝓦𝓻𝓲𝓽𝓮𝓻 𝓸𝓯 𝓣𝔀𝓮𝓮𝓽𝓼 *
𝓟𝓸𝓼𝓽𝓮𝓻 𝓸𝓯 𝓡𝓮𝓹𝓵𝓲𝓮𝓼 *
𝓛𝓲𝓯𝓮'𝓼 𝓪 𝓑𝓲𝓽𝓬𝓱 *
𝓐𝓷𝓭 𝓽𝓱𝓮𝓷 𝓸𝓷𝓮 𝓓𝓲𝓮𝓼 *";Amsterdam, The Netherlands;;;2-1-2016 10:15;Open Twitter Page for This Person;https://twitter.com/barbes_nl;No;;;;;
escovan;;;;;http://pbs.twimg.com/profile_images/1374750791781785602/b04lihgp_normal.jpg;;;;;"escovan

Hahahaha ik heb de stickers die
ik graag wou. Ik voer #wappie namelijk
als geuzennaam, omdat ik wappies
vriendelijk… https://t.co/zvvoQP383V";;2.392,7;2.195,0;;;;;;;;;;;;;451;;;1014;544;12531;18034;;"#Survivor of Mental Health- @ for ENG
Schrijft een boek. 1 blog per keer. Probeert het gezond te doen. Geniet. Heeft lief. Aardig, niet soft DM=OK gek@ziggo.nl";Zutphen;https://t.co/SjtrbD7Z6w;;4-1-2019 15:18;Open Twitter Page for This Person;https://twitter.com/escovan;Yes;;;;;
___irma___;;;;;http://pbs.twimg.com/profile_images/1387345834652676096/JqdsMG8Z_normal.jpg;;;;;"___irma___

@Pijnappelklier @tinus_rinus Heb
je tijdlijn even bekeken - je tikt
er aardig wat af 🤣 #Wappie #Covidioten
https://t.co/yykw4la4nh";;2.079,4;2.020,8;;;;;;;;;;;;;452;;;531;206;29349;3921;;Click here to add Irma to your shopping cart;Netherlands;https://t.co/KZWGjCBxZh;;26-3-2009 11:29;Open Twitter Page for This Person;https://twitter.com/___irma___;Yes;;;;;
tinus_rinus;;;;;http://pbs.twimg.com/profile_images/1387677032063148034/y__0DMjc_normal.jpg;;;;;"tinus_rinus

";;8.445,3;1.876,4;;;;;;;;;;;;;453;;;46;3;1226;887;;Tinus Rinus;;;;1-11-2020 08:53;Open Twitter Page for This Person;https://twitter.com/tinus_rinus;No;;;;;
miepjev;;;;;http://pbs.twimg.com/profile_images/1374117235397165057/LS6Amfi0_normal.jpg;;;;;"miepjev

@JolandaTwit @SimoneSays123 @JolandaTwit.
Ben ik een #Wappie? Dacht toch
net te lezen dat jij continue in
discussie… https://t.co/Ma9uZixEI5";;7.761,0;8.180,8;;;;;;;;;;;;;454;;;202;87;1135;2159;;;;;;1-3-2021 23:15;Open Twitter Page for This Person;https://twitter.com/miepjev;Yes;;;;;
jolandatwit;;;;;http://pbs.twimg.com/profile_images/1017786941348212736/_40rBh67_normal.jpg;;;;;"jolandatwit

";;2.903,0;5.972,3;;;;;;;;;;;;;455;;;772;211;9745;4753;;Hondenuitlater / Speurhondentrainer / Speurhondengeleider/ Kritisch / Geen blad vd mond;The Haque Netherlands;;;12-7-2009 23:56;Open Twitter Page for This Person;https://twitter.com/jolandatwit;No;;;;;
prohealthguy;;;;;http://pbs.twimg.com/profile_images/1254346021494231040/aXM8VdV4_normal.jpg;;;;;"prohealthguy

Dit soort mensen zijn de oorzaak
dat we nog niet van de pandemie
af zijn. Allemaal even dank je
wel zeggen tegen de… https://t.co/UWbPLauDgl";;6.867,5;5.729,5;;;;;;;;;;;;;456;;;52;8;1275;183;;** Not a Doctor ** But also not an idiot.;;;;26-4-2020 09:32;Open Twitter Page for This Person;https://twitter.com/prohealthguy;Yes;;;;;
112alarmen;;;;;http://pbs.twimg.com/profile_images/1374773937024987138/c2OHPnMX_normal.jpg;;;;;"112alarmen

Nou @ferdgrapperhaus heeft dus
ook geen begrip voor zichzelf ferd
is ook een #wappie";;4.245,2;5.543,2;;;;;;;;;;;;;457;;;22;11;500;60;;geen toegang voor links. want links is joods.;;;;16-2-2021 13:44;Open Twitter Page for This Person;https://twitter.com/112alarmen;Yes;;;;;
ferdgrapperhaus;;;;;http://pbs.twimg.com/profile_images/923482023003611136/ip8VU8OX_normal.jpg;;;;;"ferdgrapperhaus

";;4.934,8;1.882,9;;;;;;;;;;;;;458;;;192;36142;2043;126;;minister van Justitie en Veiligheid  Instagram: ferd.grapperhaus;;https://t.co/LijmEwhgtP;;27-11-2011 22:32;Open Twitter Page for This Person;https://twitter.com/ferdgrapperhaus;No;;;;;
rrijstebrei;;;;;http://pbs.twimg.com/profile_images/1383291752744841216/kr5-bh3w_normal.jpg;;;;;"rrijstebrei

@veldkamp152 Laten we zeggen dat
jij je rot gestudeerd hebt en alle
kennis in pacht..... #wappie";;2.977,8;9.229,2;;;;;;;;;;;;;459;;;437;155;154;185;;Geboren te Zundert 1986, Ajax, Formule1, designer, industrieel ontwerper, ondernemer, oldtimers, voorliefde voor VW Kever/T1;Rijsbergen, Zundert;;;8-4-2021 12:51;Open Twitter Page for This Person;https://twitter.com/rrijstebrei;Yes;;;;;
