;Visual Properties;;;;;;Labels;;;;Layout;;;;;;Graph Metrics;;;;;;;;;Do Not Edit;;Other Columns;;;;;;;;;;;;;;;;;;
Vertex;Color;Shape;Size;Opacity;Image File;Visibility;Label;Label Fill Color;Label Position;Tooltip;Layout Order;X;Y;Locked?;Polar R;Polar Angle;Degree;In-Degree;Out-Degree;Betweenness Centrality;Closeness Centrality;Eigenvector Centrality;PageRank;Clustering Coefficient;Reciprocated Vertex Pair Ratio;ID;Dynamic Filter;Add Your Own Columns Here;Followed;Followers;Tweets;Favorites;Time Zone UTC Offset (Seconds);Description;Location;Web;Time Zone;Joined Twitter Date (UTC);Custom Menu Item Text;Custom Menu Item Action;Tweeted Search Term?;;;;;
montrivilleg;;;;;http://pbs.twimg.com/profile_images/1141339853327613952/9kPmEfQ3_normal.jpg;;;;;"montrivilleg

RT @BombshellDAILY: LIE AFTER LIE
AFTER LIE Speaking out against
misinformation continues to be
the biggest daily story, of the
post-trump…";;;;;;;;;;;;;;;;;;;6507;6176;28151;110954;;"🌊 Resist.Non Serviam.TST.Prison Abolitionist.Pro-science, Anti-superstition.
Libertine. SWer advocate.☔
Communitarian Progressive.";New Hampshire, USA;;;27-9-2017 17:41;Open Twitter Page for This Person;https://twitter.com/montrivilleg;Yes;;;;;
benitoatos;;;;;http://pbs.twimg.com/profile_images/1388871851607199749/luWV8mLs_normal.jpg;;;;;"benitoatos

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;2761;2512;132600;74794;;interista Fidelis sempre;santa maria della versa prov.p;;;14-11-2014 11:54;Open Twitter Page for This Person;https://twitter.com/benitoatos;Yes;;;;;
robertsixto2;;;;;http://pbs.twimg.com/profile_images/1339206210621296640/E5ypbH2x_normal.jpg;;;;;"robertsixto2

RT @BombshellDAILY: WHY THOSE THAT
CONTINUE TO SUPPORT TRUMP ARE INSANE
Clinical explanation from Psychology
Today. #cultism #personality #…";;;;;;;;;;;;;;;;;;;7860;7883;200780;171008;;https://t.co/IisZLe6llf;BLACK HILLS.. duh;;;2-7-2019 02:20;Open Twitter Page for This Person;https://twitter.com/robertsixto2;Yes;;;;;
robertorenga;;;;;http://pbs.twimg.com/profile_images/1228974345458012160/WmzqRgl1_normal.jpg;;;;;"robertorenga

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;528;33660;395233;214377;;Turista.;Roma;;;11-8-2011 16:56;Open Twitter Page for This Person;https://twitter.com/robertorenga;Yes;;;;;
robreg1;;;;;http://pbs.twimg.com/profile_images/2346729808/EC8E7223-59CF-4109-A6C8-186FEDD4E349_normal;;;;;"robreg1

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;1430;748;109112;30189;;;;;;29-5-2012 19:20;Open Twitter Page for This Person;https://twitter.com/robreg1;Yes;;;;;
miti_vigliero;;;;;http://pbs.twimg.com/profile_images/824652556186030080/fcq7UMmK_normal.jpg;;;;;"miti_vigliero

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;9791;21587;589734;216595;;"Una Placida ""Scrittora"" che ama la Storia, le Storie Piccole, la Cucina, Genova, la Granda, le Usanze e le Memorie https://t.co/kGsdxL2MqH";;http://t.co/cCsRUhmSxJ;;26-2-2010 09:56;Open Twitter Page for This Person;https://twitter.com/miti_vigliero;Yes;;;;;
hellzapoppin80;;;;;http://pbs.twimg.com/profile_images/1127298037347442689/336Q7fCt_normal.jpg;;;;;"hellzapoppin80

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;2664;2151;218100;334737;;In Omnia Paratus;Sicilia;;;21-9-2011 22:41;Open Twitter Page for This Person;https://twitter.com/hellzapoppin80;Yes;;;;;
dagherrotipo1;;;;;http://pbs.twimg.com/profile_images/995236921851904003/8INX-Z7H_normal.jpg;;;;;"dagherrotipo1

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;654;898;70567;75206;;"Disilluso, ma coerente e testardamente democratico.
Ah, dimenticavo, sono di Sinistra.";Pisa, Toscana;;;12-5-2018 09:29;Open Twitter Page for This Person;https://twitter.com/dagherrotipo1;Yes;;;;;
ellenkmcd;;;;;http://pbs.twimg.com/profile_images/1309927217913311233/gBLF7zIS_normal.jpg;;;;;"ellenkmcd

RT @BombshellDAILY: LIE AFTER LIE
AFTER LIE Speaking out against
misinformation continues to be
the biggest daily story, of the
post-trump…";;;;;;;;;;;;;;;;;;;4608;3020;98806;252107;;Wife, Mom, Grandma, Passionate about Politics (my sister called me rabid), work from home, TV always on msnbc (not Chuck Todd) or Law & Order. Left handed too.;Robins, IA;;;2-7-2017 18:28;Open Twitter Page for This Person;https://twitter.com/ellenkmcd;Yes;;;;;
maynardchrist10;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;;;;"maynardchrist10

RT @EricNaulleau: Nous sommes le
3 mai 2021 et @JoeBiden n’a toujours
pas été arrêté par l’armée contrairement
à ce qu’annonçaient tous les…";;;;;;;;;;;;;;;;;;;198;138;71777;79936;;;;;;25-3-2020 12:52;Open Twitter Page for This Person;https://twitter.com/maynardchrist10;Yes;;;;;
purkouapah;;;;;http://pbs.twimg.com/profile_images/1280173348543176704/4BT9Dx1f_normal.jpg;;;;;"purkouapah

RT @EricNaulleau: Nous sommes le
3 mai 2021 et @JoeBiden n’a toujours
pas été arrêté par l’armée contrairement
à ce qu’annonçaient tous les…";;;;;;;;;;;;;;;;;;;122;2;981;1209;;;;;;6-7-2020 16:13;Open Twitter Page for This Person;https://twitter.com/purkouapah;Yes;;;;;
stevemandolin;;;;;http://pbs.twimg.com/profile_images/1374594707271995396/v66zC4ow_normal.jpg;;;;;"stevemandolin

RT @BombshellDAILY: LIE AFTER LIE
AFTER LIE Speaking out against
misinformation continues to be
the biggest daily story, of the
post-trump…";;;;;;;;;;;;;;;;;;;3;24;883;675;;Technocratic crypto anarchist psychonaut extraordinaire.....🤌🖕;Earth;;;19-3-2021 14:53;Open Twitter Page for This Person;https://twitter.com/stevemandolin;Yes;;;;;
kennybj52;;;;;http://pbs.twimg.com/profile_images/1382558614636826631/N44OWcT7_normal.jpg;;;;;"kennybj52

Leading #QAnon influencer is Denver
chiropractor, Vice report says.
#CraigLongley #DenverColorado…
https://t.co/KuqUvrnYm4";;;;;;;;;;;;;;;;;;;293;36;252;456;;"someone who doesn't like to describe himself; from time to time, try to ""go with the flow.""";;;;15-4-2021 04:52;Open Twitter Page for This Person;https://twitter.com/kennybj52;Yes;;;;;
aspiringone;;;;;http://pbs.twimg.com/profile_images/1366905952558022665/ZgSMfzxi_normal.jpg;;;;;"aspiringone

@kaylan_donahou @OANN It’s tough
to watch a grown man succumb to
complete mental illness. Tough,
but not impossible… https://t.co/NnyzwZm15l";;;;;;;;;;;;;;;;;;;1565;613;29560;59082;;;Palm Beach Gardens, FL;;;6-12-2008 03:55;Open Twitter Page for This Person;https://twitter.com/aspiringone;Yes;;;;;
kaylan_donahou;;;;;http://pbs.twimg.com/profile_images/1246140849014091783/5WTKEuYe_normal.jpg;;;;;"kaylan_donahou

";;;;;;;;;;;;;;;;;;;857;1409;7968;28913;;Recovering former Republican, Business Owner, Bounty Hunter, Licensed Texas Bondsman, Ally & Mom. #BLM #FlipTexasBlue 🏴‍☠️🏴‍☠️🏴‍☠️;Fort Worth, TX;;;29-1-2013 23:28;Open Twitter Page for This Person;https://twitter.com/kaylan_donahou;No;;;;;
jobrny;;;;;http://pbs.twimg.com/profile_images/561749398/100_0952_normal.JPG;;;;;"jobrny

Watching the documentary ""Agents
of Chaos."" It explains how Putin's
Russia is helping to foment division
among Amer… https://t.co/ZK2S5MQpXa";;;;;;;;;;;;;;;;;;;809;200;43983;282;;I believe we need real change in America.;NYC;https://t.co/SV7R095P7A;;20-2-2007 01:05;Open Twitter Page for This Person;https://twitter.com/jobrny;Yes;;;;;
zeropartysystem;;;;;http://pbs.twimg.com/profile_images/1385389546280390658/U_F-G7rf_normal.jpg;;;;;"zeropartysystem

@JerasIkehorn Hey #qanon I found
your pedophile deep state!";;;;;;;;;;;;;;;;;;;1570;143;10886;11066;;"The ‘Founders Fathers’ wanted a Zero-Party system. #WeThePeople #democracy #freedom #UBI ; Occupation: Ex-Memory Hole Operator; 🇺🇸#BLM #GBR 🌽";Airship Two, Oceania;;;14-2-2017 06:07;Open Twitter Page for This Person;https://twitter.com/zeropartysystem;Yes;;;;;
jerasikehorn;;;;;http://pbs.twimg.com/profile_images/1334943538849611777/nTBbnKCo_normal.jpg;;;;;"jerasikehorn

";;;;;;;;;;;;;;;;;;;8853;12024;11702;5891;;Just living the California liberal dream... #FBR, #Resister, #BlueToMyCore! #BidenHarris, NO DMs 🌈😎🌊🚴🏻‍♀️🏊🏻‍♂️🏖🐾;;;;2-12-2017 02:46;Open Twitter Page for This Person;https://twitter.com/jerasikehorn;No;;;;;
v92835072;;;;;http://pbs.twimg.com/profile_images/1248095052389220353/ax4pWA5T_normal.jpg;;;;;"v92835072

Never trust a #conspiracy theory
site like the one quoted in the
Jewish newspaper. They are, after
all, a kind of A… https://t.co/YVXTELBvA3";;;;;;;;;;;;;;;;;;;3850;3834;2896;103;;"You can find an overview of the Root Tax System, here.
  https://t.co/P6bARKHaqW
  https://t.co/jY8ZBlHpDF";JAPAN;https://t.co/qPvDKALziU;;9-4-2020 03:45;Open Twitter Page for This Person;https://twitter.com/v92835072;Yes;;;;;
gatewayrover;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;;;;"gatewayrover

@BillKristol Is that suppose to
be criticism? if so its perverse
thinking. what drugs are #conservativeterrorist…
https://t.co/bQQ5WWz6vN";;;;;;;;;;;;;;;;;;;128;34;13989;9136;;Metropolis 1927 Movie;;;;26-1-2020 19:50;Open Twitter Page for This Person;https://twitter.com/gatewayrover;Yes;;;;;
billkristol;;;;;http://pbs.twimg.com/profile_images/521747547648311296/Z-2ftHoZ_normal.png;;;;;"billkristol

";;;;;;;;;;;;;;;;;;;6372;897742;39063;2;;Director, https://t.co/PWRcR3IxJj. Editor at large, https://t.co/2a4u3o8vGm. Host, https://t.co/2cRflRmz1y. Fellow, @HarvardIOP.;;;;2-10-2014 18:47;Open Twitter Page for This Person;https://twitter.com/billkristol;No;;;;;
jankka;;;;;http://pbs.twimg.com/profile_images/1368477042266750976/hg8Tp_zS_normal.jpg;;;;;"jankka

Never stop the madness. #conspiracy
#qanon https://t.co/bbvNBDjjlF";;;;;;;;;;;;;;;;;;;1410;390;20686;17460;;Profiili verrattain epätarkka. Tweettailen millä kielellä sattuu. Profile somewhat unclear. Tweets in any possible language.;Tukholma, Ruotsi;https://t.co/9eUOUfcXjU;;20-1-2009 10:49;Open Twitter Page for This Person;https://twitter.com/jankka;Yes;;;;;
francyp_;;;;;http://pbs.twimg.com/profile_images/1345049219112071169/j0aaOEGU_normal.jpg;;;;;"francyp_

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;629;1702;38802;4244;;Non mi affascinano le beghe di partito, a me interessa il futuro del paese. Amo la storia e la mia città. https://t.co/iljSpB6yRu;Venezia, Veneto;;;23-3-2013 17:26;Open Twitter Page for This Person;https://twitter.com/francyp_;Yes;;;;;
eleonor31151952;;;;;http://pbs.twimg.com/profile_images/1387012092616757250/5HOskR-l_normal.jpg;;;;;"eleonor31151952

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;889;541;20232;74648;;Tutti gli esseri umani nascono uguali in dignità e diritti. NON SOLO QUELLI CHE PIACCIONO A VOI!!!;Calabria, Italia;;;29-3-2019 18:18;Open Twitter Page for This Person;https://twitter.com/eleonor31151952;Yes;;;;;
maxbax33;;;;;http://pbs.twimg.com/profile_images/1376239359414915074/6B6IPIQg_normal.jpg;;;;;"maxbax33

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;886;1794;129080;259255;;"📈Trader. independent analyst. 
 connect venture capital.cannabis sector investor. Roth Capital partners";UE and U.s.;https://t.co/MqfYB36pld;;28-3-2014 21:41;Open Twitter Page for This Person;https://twitter.com/maxbax33;Yes;;;;;
pellegiova72;;;;;http://pbs.twimg.com/profile_images/1110329227583414272/NyJzXXOs_normal.jpg;;;;;"pellegiova72

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;201;50;1601;12624;;;;;;13-11-2013 19:46;Open Twitter Page for This Person;https://twitter.com/pellegiova72;Yes;;;;;
_mrbyte;;;;;http://pbs.twimg.com/profile_images/1342616892092129280/whuff1Tp_normal.jpg;;;;;"_mrbyte

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;1777;3415;107366;49431;;/dev/null;Here.;https://t.co/0FtBLmWPFQ;;5-3-2009 20:08;Open Twitter Page for This Person;https://twitter.com/_mrbyte;Yes;;;;;
lidiapaolillo;;;;;http://pbs.twimg.com/profile_images/1018110576147550208/nCOc5tgk_normal.jpg;;;;;"lidiapaolillo

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;3811;3463;23599;139069;;Sono vecchia ma ancora curiosa del mondo;Piemonte, Italia;;;25-2-2018 15:06;Open Twitter Page for This Person;https://twitter.com/lidiapaolillo;Yes;;;;;
druniheidi;;;;;http://pbs.twimg.com/profile_images/1298560891626037248/Ip_KXMbu_normal.jpg;;;;;"druniheidi

RT @BombshellDAILY: WHY THOSE THAT
CONTINUE TO SUPPORT TRUMP ARE INSANE
Clinical explanation from Psychology
Today. #cultism #personality #…";;;;;;;;;;;;;;;;;;;15541;15661;14573;33065;;#BidenWon! Followed by the best people. #BLM #LGBTQAlly #StrongerTogether #Indivisible #Resisters #FBPE #MaskUp #FBR #DemVoice1 #ProtectingOurDemocracy!;United States of America;;;8-10-2009 17:47;Open Twitter Page for This Person;https://twitter.com/druniheidi;Yes;;;;;
roky99760738;;;;;http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png;;;;;"roky99760738

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;1239;719;127437;83001;;;;;;7-3-2018 12:41;Open Twitter Page for This Person;https://twitter.com/roky99760738;Yes;;;;;
rndeg12068;;;;;http://pbs.twimg.com/profile_images/1362479718050787329/nnBs3bEE_normal.jpg;;;;;"rndeg12068

RT @BombshellDAILY: LIE AFTER LIE
AFTER LIE Speaking out against
misinformation continues to be
the biggest daily story, of the
post-trump…";;;;;;;;;;;;;;;;;;;975;52;1900;29;;👀Retweeting potential puzzle pieces of sedition, treason, corruption. #AntiMAGA 😖😖😖😖😖😖🇺🇸🇺🇸#ProDemocracy🇺🇸🇺🇸;Chicago, IL;;;30-1-2019 17:15;Open Twitter Page for This Person;https://twitter.com/rndeg12068;Yes;;;;;
invisigot;;;;;http://pbs.twimg.com/profile_images/1063085761099108353/y-tFor9-_normal.jpg;;;;;"invisigot

This CrossFit Chiropractor Is Secretly
One of QAnon’s Leading Influencers
https://t.co/wD7pxCDeiN via @vicenews
#qanon";;;;;;;;;;;;;;;;;;;6069;5803;15114;2148;;"Giornalista, Comunicazione digitale e Open Gov di @crpiemonte. Autore della newsletter ""Reagire al velleitarismo"". Vivo a #sansalvario con il cuore alla Puglia.";Torino, Italy;https://t.co/lv6R6sH6an;;7-5-2007 09:07;Open Twitter Page for This Person;https://twitter.com/invisigot;Yes;;;;;
vicenews;;;;;http://pbs.twimg.com/profile_images/1233501220351938561/EDFKNAdi_normal.png;;;;;"vicenews

";;;;;;;;;;;;;;;;;;;940;1011116;125878;4744;;#VICENewsTonight airs Monday–Thursday on @VICETV / #VICEonSHO on @Showtime / Sign up for the VICE News Daily Brief https://t.co/iAmmxEdiz4;Worldwide;;;29-7-2013 17:40;Open Twitter Page for This Person;https://twitter.com/vicenews;No;;;;;
hoppitiv;;;;;http://pbs.twimg.com/profile_images/1387781063762661383/wNwxhKMw_normal.jpg;;;;;"hoppitiv

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;888;785;8234;24942;;"ANTIQ 🤡 HUNTER 🐧 ♥️ 🐧
#PagliazzoQ🤡
#NoFakeWithUs
#QazzariHunter
-Debunker-
Primo Cittadino di Mal Comune di MezzoGaudio @pingveneto";;;;3-2-2021 21:47;Open Twitter Page for This Person;https://twitter.com/hoppitiv;Yes;;;;;
pepo1913;;;;;http://pbs.twimg.com/profile_images/1386753987165278213/w0NhT8jH_normal.jpg;;;;;"pepo1913

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;2736;2433;54538;47942;;L’accorrere in aiuto, il prestare soccorso, l’offrire salvezza, è un sentimento naturale, legge universale, principio assoluto e diritto-dovere fondamentale.;;;;3-2-2012 12:59;Open Twitter Page for This Person;https://twitter.com/pepo1913;Yes;;;;;
bubblescow;;;;;http://pbs.twimg.com/profile_images/1315589927674019842/bqoDQNI4_normal.jpg;;;;;"bubblescow

RT @BombshellDAILY: LIE AFTER LIE
AFTER LIE Speaking out against
misinformation continues to be
the biggest daily story, of the
post-trump…";;;;;;;;;;;;;;;;;;;1257;909;1890;6872;;"Just a girl who loves cows ❤🐄❤ 
Well, all animals!
Liberal minded 🌊 Tired of all the hate
Friend to LGBTQ  #BLM  #RESIST";Michigan, USA;;;12-10-2020 09:44;Open Twitter Page for This Person;https://twitter.com/bubblescow;Yes;;;;;
carmela_oltre;;;;;http://pbs.twimg.com/profile_images/1313870567599153153/a846dGuq_normal.jpg;;;;;"carmela_oltre

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;2723;3177;540810;597993;;La fede è certezza.....;Italia;;;9-7-2017 12:17;Open Twitter Page for This Person;https://twitter.com/carmela_oltre;Yes;;;;;
il_paradroide;;;;;http://pbs.twimg.com/profile_images/1760126343/tweet_normal.jpg;;;;;"il_paradroide

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;1288;1623;130804;99491;;"Collaboratore di IGN Italia. Inoltre, game designer, sistemista e super-eroe a tempo perso.
Ho vinto il Gioco dell'Anno 2016 col mio Potion Explosion!";Rome, Italy, Earth;http://t.co/NhahsUMJ8U;;16-1-2012 19:35;Open Twitter Page for This Person;https://twitter.com/il_paradroide;Yes;;;;;
liliaragnar;;;;;http://pbs.twimg.com/profile_images/1346854159501430787/uhqucXnh_normal.jpg;;;;;"liliaragnar

";;;;;;;;;;;;;;;;;;;2471;3856;20129;49487;;;;;;29-12-2020 16:22;Open Twitter Page for This Person;https://twitter.com/liliaragnar;No;;;;;
a_wubber_one;;;;;http://pbs.twimg.com/profile_images/1369386952768774145/jutoWh7r_normal.jpg;;;;;"a_wubber_one

A proposito, qualcuno ha letto
commenti sull'attentato da parte
della mmerda #Qanon #NoVax vecchia
#QAzzara… https://t.co/vT6uSXi1lI";;;;;;;;;;;;;;;;;;;692;393;3512;11229;;"🍐Ma dove vai bellezza in bicicletta?
🍐Sei messo peggio di quel sacco col boxeur
🍐Lascia la bici, ai pappataci
🍐Sei più sfigato, più sfigato di un voyeur";;https://t.co/WzAkRRBtGX;;22-12-2020 20:13;Open Twitter Page for This Person;https://twitter.com/a_wubber_one;Yes;;;;;
66gio;;;;;http://pbs.twimg.com/profile_images/3174387891/a5944ee2f407a8a559a701def3db5cd8_normal.jpeg;;;;;"66gio

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;314;608;104307;80563;;Bloccato dal papeetaro 🤣🤣🤣;Magna Romagna;;;1-8-2009 15:58;Open Twitter Page for This Person;https://twitter.com/66gio;Yes;;;;;
lucasalvarani11;;;;;http://pbs.twimg.com/profile_images/906169646134558720/lqp9UO16_normal.jpg;;;;;"lucasalvarani11

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;2354;930;57152;122178;;;;;;20-10-2011 13:45;Open Twitter Page for This Person;https://twitter.com/lucasalvarani11;Yes;;;;;
alex50va;;;;;http://pbs.twimg.com/profile_images/767674927872872448/e7JOTIpz_normal.jpg;;;;;"alex50va

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;248;219;20758;19971;;Quando il gioco si fa duro i duri cominciano a giocare. ANTIFA LIBERTARIO E NON LIBERISTA .Non porgo altra guancia.;;;;26-12-2012 11:51;Open Twitter Page for This Person;https://twitter.com/alex50va;Yes;;;;;
ramblingrose100;;;;;http://pbs.twimg.com/profile_images/1213179520846417920/ZF7vgFFT_normal.jpg;;;;;"ramblingrose100

RT @BombshellDAILY: WHY THOSE THAT
CONTINUE TO SUPPORT TRUMP ARE INSANE
Clinical explanation from Psychology
Today. #cultism #personality #…";;;;;;;;;;;;;;;;;;;23027;22965;42643;47987;;#RESIST🌊 🌊yaaay we got the madman out.  I follow all resisters.❤❤ Animal lover 🐕🐷vegan🌊🌊🌊🌊;;;;10-10-2016 16:52;Open Twitter Page for This Person;https://twitter.com/ramblingrose100;Yes;;;;;
rafelez;;;;;http://pbs.twimg.com/profile_images/2537878016/qb7rxa0qelx2ob2cbnxk_normal.jpeg;;;;;"rafelez

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;371;177;41790;61170;;Nerd atipico. Probabilmente manca una virgola nella frase precedente.;Napoli;http://t.co/QqyPmqlr7V;;31-1-2010 19:21;Open Twitter Page for This Person;https://twitter.com/rafelez;Yes;;;;;
jeanlucp1972;;;;;http://pbs.twimg.com/profile_images/662307402247774209/QSgnGBsi_normal.jpg;;;;;"jeanlucp1972

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;69;26;1333;3377;;;Roma, Lazio;;;5-11-2015 16:28;Open Twitter Page for This Person;https://twitter.com/jeanlucp1972;Yes;;;;;
lore944;;;;;http://pbs.twimg.com/profile_images/561568261200805888/d-gZPI1I_normal.jpeg;;;;;"lore944

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;851;1090;56574;100478;;;;;;28-1-2015 22:02;Open Twitter Page for This Person;https://twitter.com/lore944;Yes;;;;;
fuffaforte;;;;;http://pbs.twimg.com/profile_images/1119335733075034114/o-1unScy_normal.jpg;;;;;"fuffaforte

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;1794;1748;120108;1664;;"Un gobbo con la schiena dritta.
Questo nick TI descrive perfettamente. Se perdi, non perdere la lezione (cit.)
'Economista' (tanto ormai lo sono tutti, no?)";;;;24-9-2011 20:08;Open Twitter Page for This Person;https://twitter.com/fuffaforte;Yes;;;;;
yuna_hikari;;;;;http://pbs.twimg.com/profile_images/885542265694932992/IOY7Jyis_normal.jpg;;;;;"yuna_hikari

RT @DavidPuente: Dal profilo di
uno dei due No vax arrestati con
l'accusa di aver organizzato l’attentato
incendiario (molotov) al centro
t…";;;;;;;;;;;;;;;;;;;337;308;55306;3465;;Devoted to Utada Hikaru, Nightwish, video games, music and many other pretty things. Epicness awaits \ò_ò/;Italy;;;17-6-2009 11:57;Open Twitter Page for This Person;https://twitter.com/yuna_hikari;Yes;;;;;
adrianoertli;;;;;http://pbs.twimg.com/profile_images/1257304664950796291/kJUYWHqm_normal.jpg;;;;;"adrianoertli

https://t.co/dOc6NnRA9B #qanon
#Trauma #falsememory #Verschwörungstheorie
#satanismus #satanicpanic";;;;;;;;;;;;;;;;;;;306;168;1781;451;;"Psychotherapist, Cult und Extremism Expert. Former Left Extremist, Promoter of Nonviolence

If you don't think in black or white we are all people of color!";Zürich, Schweiz;https://t.co/FI3AqWjvKu;;23-2-2016 13:06;Open Twitter Page for This Person;https://twitter.com/adrianoertli;Yes;;;;;
thealiica;;;;;http://pbs.twimg.com/profile_images/1238091367018041346/XbVh67-f_normal.jpg;;;;;"thealiica

@JariTaponen Kyllä! Ano Turtiaiselle
pitäisi tehdä sama kuin Trumpille
tehtiin. Vittuun kaikilta alustoilta
levittä… https://t.co/CH7V1U4cNm";;;;;;;;;;;;;;;;;;;206;59;1246;472;;Wife, 2 kids, 2 dogs, sexy hair.;Finland;https://t.co/oT4MjuaCAu;;10-9-2019 15:03;Open Twitter Page for This Person;https://twitter.com/thealiica;Yes;;;;;
jaritaponen;;;;;http://pbs.twimg.com/profile_images/1319899780919775232/higFHqZy_normal.jpg;;;;;"jaritaponen

";;;;;;;;;;;;;;;;;;;1066;11467;6049;9655;;Ylikomisario, Ennalta estävän toiminnon johtaja ja Turvallinen Helsinki -verkoston puheenjohtaja #turvallisuus #rikollisuus #poliisi #turvallinenhelsinki;Helsinki, Finland;;;4-1-2017 07:53;Open Twitter Page for This Person;https://twitter.com/jaritaponen;No;;;;;
fffbot1;;;;;http://pbs.twimg.com/profile_images/1357424456197697537/g30DFs1P_normal.jpg;;;;;"fffbot1

RT @Pikanto: Schwärmt nicht nur
vom neuen #DerLetztePodcast mit
Tobi Erdmann, sondern lasst euch
von ihm dabei auch noch von Schwärmen
erzä…";;;;;;;;;;;;;;;;;;;0;197;172735;11822;;I retweet the tweets with #FridaysForFuture | Created by @amity_ak97;;https://t.co/nNME4tqHZZ;;4-2-2021 19:53;Open Twitter Page for This Person;https://twitter.com/fffbot1;Yes;;;;;
pikanto;;;;;http://pbs.twimg.com/profile_images/76095209/JohnnyCashAva_1_normal.jpg;;;;;"pikanto

";;;;;;;;;;;;;;;;;;;121;633;620;7524;;Filmmaker / Podcaster / Critic - https://t.co/btjTaZBh9s - https://t.co/WMfMLIh0Ms - https://t.co/lUJWlCz9MZ;Berlin/NYC/Cologne/L.A.;https://t.co/LI2Ifdw7FE;;6-2-2009 20:18;Open Twitter Page for This Person;https://twitter.com/pikanto;No;;;;;
